Packet Sent:#118#Round Trip Time#298627#Encryption Time Sender#72#Encryption Time Sender#126#49520#49632#49632#Message:#101.5#   210#
Packet Sent:#119#Round Trip Time#307785#Encryption Time Sender#84#Encryption Time Sender#126#49632#49632#49632#Message:#101.7#   209#
Packet Sent:#120#Round Trip Time#294739#Encryption Time Sender#72#Encryption Time Sender#126#49632#49632#49632#Message:#99.91#   210#
Packet Sent:#121#Round Trip Time#298618#Encryption Time Sender#72#Encryption Time Sender#126#49632#49632#49632#Message:#100.1#   210#
Packet Sent:#122#Round Trip Time#297345#Encryption Time Sender#72#Encryption Time Sender#126#49632#49632#49632#Message:#101.4#   209#
Packet Sent:#123#Round Trip Time#302795#Encryption Time Sender#72#Encryption Time Sender#126#49632#49632#49632#Message:#99.40#   210#
Packet Sent:#124#Round Trip Time#302904#Encryption Time Sender#84#Encryption Time Sender#126#49632#49632#49632#Message:#101.6#   210#
Packet Sent:#125#Round Trip Time#303458#Encryption Time Sender#73#Encryption Time Sender#125#49632#49632#49632#Message:#101.5#   210#
Packet Sent:#126#Round Trip Time#296103#Encryption Time Sender#72#Encryption Time Sender#125#49632#49632#49632#Message:#99.31#   210#
Packet Sent:#127#Round Trip Time#300235#Encryption Time Sender#72#Encryption Time Sender#126#49632#49632#49632#Message:#99.60#   210#
Packet Sent:#128#Round Trip Time#302156#Encryption Time Sender#73#Encryption Time Sender#126#49632#49520#49520#Message:#101.6#   210#
Packet Sent:#129#Round Trip Time#298791#Encryption Time Sender#84#Encryption Time Sender#126#49520#49632#49632#Message:#99.58#   210#
Packet Sent:#130#Round Trip Time#294580#Encryption Time Sender#72#Encryption Time Sender#126#49632#49632#49632#Message:#99.74#   210#
Packet Sent:#131#Round Trip Time#298134#Encryption Time Sender#72#Encryption Time Sender#126#49632#49632#49632#Message:#97.64#   210#
Packet Sent:#132#Round Trip Time#301286#Encryption Time Sender#73#Encryption Time Sender#126#49632#49632#49632#Message:#100.7#   210#
Packet Sent:#133#Round Trip Time#299475#Encryption Time Sender#72#Encryption Time Sender#126#49632#49632#49632#Message:#99.26#   210#
Packet Sent:#134#Round Trip Time#299684#Encryption Time Sender#84#Encryption Time Sender#126#49632#49632#49632#Message:#101.0#   210#
Packet Sent:#135#Round Trip Time#299795#Encryption Time Sender#73#Encryption Time Sender#126#49632#49632#49632#Message:#99.57#   209#
