Packet Sent:#140#Round Trip Time#172164#Encryption Time Sender#142#Encryption Time Sender#224#49624#49624#49624#Message:#11.34#   272#
Packet Sent:#141#Round Trip Time#159522#Encryption Time Sender#146#Encryption Time Sender#247#49624#49512#49512#Message:#11.19#   277#
Packet Sent:#142#Round Trip Time#164310#Encryption Time Sender#140#Encryption Time Sender#220#49512#49624#49624#Message:#11.14#   281#
Packet Sent:#143#Round Trip Time#166187#Encryption Time Sender#144#Encryption Time Sender#244#49624#49624#49624#Message:#11.08#   271#
Packet Sent:#144#Round Trip Time#166947#Encryption Time Sender#145#Encryption Time Sender#227#49624#49624#49624#Message:#11.01#   275#
Packet Sent:#145#Round Trip Time#163367#Encryption Time Sender#144#Encryption Time Sender#242#49624#49624#49624#Message:#11.25#   284#
Packet Sent:#146#Round Trip Time#162964#Encryption Time Sender#142#Encryption Time Sender#224#49624#49624#49624#Message:#11.02#   272#
Packet Sent:#147#Round Trip Time#165653#Encryption Time Sender#143#Encryption Time Sender#247#49624#49624#49624#Message:#11.05#   276#
Packet Sent:#148#Round Trip Time#166854#Encryption Time Sender#141#Encryption Time Sender#224#49624#49624#49624#Message:#10.98#   283#
Packet Sent:#149#Round Trip Time#168176#Encryption Time Sender#144#Encryption Time Sender#243#49624#49624#49624#Message:#11.00#   251#
Packet Sent:#150#Round Trip Time#161881#Encryption Time Sender#146#Encryption Time Sender#228#49624#49624#49624#Message:#11.04#   283#
Packet Sent:#151#Round Trip Time#169487#Encryption Time Sender#143#Encryption Time Sender#244#49624#49624#49624#Message:#11.14#   283#
Packet Sent:#152#Round Trip Time#161634#Encryption Time Sender#142#Encryption Time Sender#224#49624#49624#49624#Message:#11.12#   260#
Packet Sent:#153#Round Trip Time#165454#Encryption Time Sender#143#Encryption Time Sender#247#49624#49624#49624#Message:#11.13#   283#
Packet Sent:#154#Round Trip Time#166097#Encryption Time Sender#143#Encryption Time Sender#224#49624#49624#49624#Message:#11.20#   280#
Packet Sent:#155#Round Trip Time#168905#Encryption Time Sender#144#Encryption Time Sender#247#49624#49512#49512#Message:#11.07#   259#
Packet Sent:#156#Round Trip Time#167851#Encryption Time Sender#146#Encryption Time Sender#219#49512#49624#49624#Message:#11.04#   284#
Packet Sent:#157#Round Trip Time#159835#Encryption Time Sender#145#Encryption Time Sender#243#49624#49624#49624#Message:#11.07#   284#
Packet Sent:#158#Round Trip Time#164860#Encryption Time Sender#141#Encryption Time Sender#228#49624#49624#49624#Message:#11.01#   260#
Packet Sent:#159#Round Trip Time#165158#Encryption Time Sender#145#Encryption Time Sender#244#49624#49624#49624#Message:#10.96#   284#
Packet Sent:#160#Round Trip Time#165477#Encryption Time Sender#142#Encryption Time Sender#225#49624#49624#49624#Message:#11.02#   284#
Packet Sent:#161#Round Trip Time#166663#Encryption Time Sender#149#Encryption Time Sender#247#49624#49624#49624#Message:#11.02#   285#
Packet Sent:#162#Round Trip Time#167266#Encryption Time Sender#142#Encryption Time Sender#224#49624#49624#49624#Message:#11.29#   276#
Packet Sent:#163#Round Trip Time#163056#Encryption Time Sender#144#Encryption Time Sender#243#49624#49624#49624#Message:#11.27#   284#
Packet Sent:#164#Round Trip Time#165785#Encryption Time Sender#142#Encryption Time Sender#227#49624#49624#49624#Message:#11.24#   255#
Packet Sent:#165#Round Trip Time#166234#Encryption Time Sender#145#Encryption Time Sender#243#49624#49624#49624#Message:#11.15#   284#
Packet Sent:#166#Round Trip Time#165201#Encryption Time Sender#142#Encryption Time Sender#224#49624#49624#49624#Message:#11.16#   283#
Packet Sent:#167#Round Trip Time#168693#Encryption Time Sender#148#Encryption Time Sender#247#49624#49624#49624#Message:#11.49#   259#
Packet Sent:#168#Round Trip Time#164660#Encryption Time Sender#142#Encryption Time Sender#224#49624#49624#49624#Message:#11.43#   284#
Packet Sent:#169#Round Trip Time#166107#Encryption Time Sender#145#Encryption Time Sender#258#49624#49624#49624#Message:#11.54#   284#
Packet Sent:#170#Round Trip Time#166665#Encryption Time Sender#142#Encryption Time Sender#246#49624#49512#49512#Message:#11.42#   260#
Packet Sent:#171#Round Trip Time#167511#Encryption Time Sender#147#Encryption Time Sender#232#49512#49624#49624#Message:#11.30#   284#
Packet Sent:#172#Round Trip Time#165097#Encryption Time Sender#140#Encryption Time Sender#244#49624#49624#49624#Message:#11.14#   283#
Packet Sent:#173#Round Trip Time#163441#Encryption Time Sender#149#Encryption Time Sender#238#49624#49624#49624#Message:#11.23#   269#
Packet Sent:#174#Round Trip Time#169909#Encryption Time Sender#141#Encryption Time Sender#244#49624#49624#49624#Message:#11.30#   284#
Packet Sent:#175#Round Trip Time#163976#Encryption Time Sender#145#Encryption Time Sender#240#49624#49624#49624#Message:#11.35#   283#
Packet Sent:#176#Round Trip Time#165686#Encryption Time Sender#139#Encryption Time Sender#244#49624#49624#49624#Message:#11.07#   271#
Packet Sent:#177#Round Trip Time#163185#Encryption Time Sender#145#Encryption Time Sender#236#49624#49624#49624#Message:#11.19#   283#
Packet Sent:#178#Round Trip Time#165134#Encryption Time Sender#140#Encryption Time Sender#247#49624#49624#49624#Message:#11.01#   284#
Packet Sent:#179#Round Trip Time#165159#Encryption Time Sender#150#Encryption Time Sender#236#49624#49624#49624#Message:#11.17#   260#
Packet Sent:#180#Round Trip Time#168947#Encryption Time Sender#141#Encryption Time Sender#243#49624#49624#49624#Message:#11.29#   284#
Packet Sent:#181#Round Trip Time#161988#Encryption Time Sender#144#Encryption Time Sender#239#49624#49624#49624#Message:#11.20#   283#
Packet Sent:#182#Round Trip Time#167906#Encryption Time Sender#140#Encryption Time Sender#243#49624#49624#49624#Message:#11.32#   259#
Packet Sent:#183#Round Trip Time#164032#Encryption Time Sender#146#Encryption Time Sender#235#49624#49624#49624#Message:#11.17#   283#
Packet Sent:#184#Round Trip Time#166595#Encryption Time Sender#144#Encryption Time Sender#247#49624#49512#49512#Message:#11.12#   283#
Packet Sent:#185#Round Trip Time#164910#Encryption Time Sender#147#Encryption Time Sender#232#49512#49624#49624#Message:#11.08#   259#
Packet Sent:#186#Round Trip Time#165092#Encryption Time Sender#141#Encryption Time Sender#243#49624#49624#49624#Message:#11.19#   284#
Packet Sent:#187#Round Trip Time#166057#Encryption Time Sender#146#Encryption Time Sender#240#49624#49624#49624#Message:#11.20#   284#
Packet Sent:#188#Round Trip Time#166399#Encryption Time Sender#140#Encryption Time Sender#244#49624#49624#49624#Message:#11.10#   283#
