⸮⸮Ƈ⸮,,V⸮L'k⸮&TY⸮z⸮⸮b|⸮ޗ⸮⸮t⸮⸮⸮5⸮⸮/⸮vB⸮0⸮',⸮eC⸮&⸮⸮քC⸮G⸮⸮V⸮⸮⸮`⸮⸮⸮:`⸮⸮&⸮-J⸮P⸮7fl|⸮⸮⸮`5
This is a long sentence that is encrypted and then transmitted using the MQTT protocol for test.

Packet Sent:#65#Round Trip Time#1002353#Encryption Time Sender#227#Decryption Time Sender#263#49088#49088#49088#Message:#102.1#  328 #
Packet Sent:#66#Round Trip Time#1005731#Encryption Time Sender#333#Decryption Time Sender#295#49088#49088#49088#Message:#102.2#  327 #
Packet Sent:#67#Round Trip Time#1003961#Encryption Time Sender#330#Decryption Time Sender#290#49088#49088#49088#Message:#102.2#  327 #
Packet Sent:#68#Round Trip Time#1006424#Encryption Time Sender#329#Decryption Time Sender#291#49088#49088#49088#Message:#101.8#  327 #
Packet Sent:#69#Round Trip Time#1005986#Encryption Time Sender#330#Decryption Time Sender#290#49088#49088#49088#Message:#101.5#  324 #
Packet Sent:#70#Round Trip Time#1005727#Encryption Time Sender#330#Decryption Time Sender#291#49088#49088#49088#Message:#103.9#  323 #
Packet Sent:#71#Round Trip Time#1004876#Encryption Time Sender#331#Decryption Time Sender#294#49088#49088#49088#Message:#102.3#  327 #
Packet Sent:#72#Round Trip Time#1006677#Encryption Time Sender#330#Decryption Time Sender#290#49088#48976#48976#Message:#102.1#  328 #
Packet Sent:#73#Round Trip Time#1006012#Encryption Time Sender#330#Decryption Time Sender#292#49088#49088#49088#Message:#101.8#  328 #
Packet Sent:#74#Round Trip Time#1002967#Encryption Time Sender#330#Decryption Time Sender#259#49088#49088#49088#Message:#103.1#  327 #
Packet Sent:#75#Round Trip Time#1005944#Encryption Time Sender#330#Decryption Time Sender#291#49088#49088#49088#Message:#102.0#  328 #
Packet Sent:#76#Round Trip Time#1006076#Encryption Time Sender#331#Decryption Time Sender#291#49088#49088#49088#Message:#102.7#  324 #
Packet Sent:#77#Round Trip Time#1003098#Encryption Time Sender#330#Decryption Time Sender#290#49088#49088#49088#Message:#101.9#  327 #
Packet Sent:#78#Round Trip Time#1005917#Encryption Time Sender#330#Decryption Time Sender#295#49088#49088#49088#Message:#101.9#  327 #
Packet Sent:#79#Round Trip Time#1005896#Encryption Time Sender#330#Decryption Time Sender#294#49088#49088#49088#Message:#102.0#  327 #
Packet Sent:#80#Round Trip Time#1003306#Encryption Time Sender#330#Decryption Time Sender#294#49088#49088#49088#Message:#101.9#  328 #
Packet Sent:#81#Round Trip Time#1005989#Encryption Time Sender#335#Decryption Time Sender#294#49088#49088#49088#Message:#101.9#  328 #
Packet Sent:#82#Round Trip Time#1005934#Encryption Time Sender#334#Decryption Time Sender#291#49088#49088#49088#Message:#101.8#  327 #
Packet Sent:#83#Round Trip Time#1002967#Encryption Time Sender#329#Decryption Time Sender#259#49088#49088#49088#Message:#101.7#  327 #
Packet Sent:#84#Round Trip Time#1005940#Encryption Time Sender#334#Decryption Time Sender#290#49088#49088#49088#Message:#102.3#  324 #
Packet Sent:#85#Round Trip Time#1006082#Encryption Time Sender#334#Decryption Time Sender#290#49088#49088#49088#Message:#100.8#  324 #
Packet Sent:#86#Round Trip Time#1003094#Encryption Time Sender#330#Decryption Time Sender#291#49088#49088#49088#Message:#102.2#  327 #
Packet Sent:#87#Round Trip Time#1006147#Encryption Time Sender#329#Decryption Time Sender#295#49088#49088#49088#Message:#102.5#  327 #
Packet Sent:#88#Round Trip Time#1002050#Encryption Time Sender#239#Decryption Time Sender#259#49088#49088#49088#Message:#101.4#  271 #
